customerId,transactionDate,amount,currency,sourceChannel,externalTransactionId
customer-0002,2026-04-01T00:07:00.000Z,2.01,EUR,mobile,
customer-0003,2026-04-01T00:14:00.000Z,3.02,GBP,email,
customer-0004,2026-04-01T00:21:00.000Z,4.03,UAH,pos,ext-000003
customer-0005,2026-04-01T00:28:00.000Z,5.04,USD,web,
customer-0006,2026-04-01T00:35:00.000Z,6.05,EUR,mobile,
customer-0007,2026-04-01T00:42:00.000Z,7.06,GBP,email,ext-000006
customer-0008,2026-04-01T00:49:00.000Z,8.07,UAH,pos,
customer-0009,2026-04-01T00:56:00.000Z,9.08,USD,web,
customer-0010,2026-04-01T01:03:00.000Z,10.09,EUR,mobile,ext-000009
customer-0011,2026-04-01T01:10:00.000Z,11.10,GBP,email,
customer-0012,2026-04-01T01:17:00.000Z,12.11,UAH,pos,
customer-0013,2026-04-01T01:24:00.000Z,13.12,USD,web,ext-000012
customer-0014,2026-04-01T01:31:00.000Z,14.13,EUR,mobile,
customer-0015,2026-04-01T01:38:00.000Z,15.14,GBP,email,
customer-0016,2026-04-01T01:45:00.000Z,16.15,UAH,pos,ext-000015
customer-0017,2026-04-01T01:52:00.000Z,17.16,USD,web,
customer-0018,2026-04-01T01:59:00.000Z,18.17,EUR,mobile,
customer-0019,2026-04-01T02:06:00.000Z,19.18,GBP,email,ext-000018
customer-0020,2026-04-01T02:13:00.000Z,20.19,UAH,pos,
customer-0021,2026-04-01T02:20:00.000Z,21.20,USD,web,
customer-0022,2026-04-01T02:27:00.000Z,22.21,EUR,mobile,ext-000021
customer-0023,2026-04-01T02:34:00.000Z,23.22,GBP,email,
customer-0024,2026-04-01T02:41:00.000Z,24.23,UAH,pos,
customer-0025,2026-04-01T02:48:00.000Z,25.24,USD,web,ext-000024
customer-0026,2026-04-01T02:55:00.000Z,26.25,EUR,mobile,
customer-0027,2026-04-01T03:02:00.000Z,27.26,GBP,email,
customer-0028,2026-04-01T03:09:00.000Z,28.27,UAH,pos,ext-000027
customer-0029,2026-04-01T03:16:00.000Z,29.28,USD,web,
customer-0030,2026-04-01T03:23:00.000Z,30.29,EUR,mobile,
customer-0031,2026-04-01T03:30:00.000Z,31.30,GBP,email,ext-000030
customer-0032,2026-04-01T03:37:00.000Z,32.31,UAH,pos,
customer-0033,2026-04-01T03:44:00.000Z,33.32,USD,web,
customer-0034,2026-04-01T03:51:00.000Z,34.33,EUR,mobile,ext-000033
customer-0035,2026-04-01T03:58:00.000Z,35.34,GBP,email,
customer-0036,2026-04-01T04:05:00.000Z,36.35,UAH,pos,
customer-0037,2026-04-01T04:12:00.000Z,37.36,USD,web,ext-000036
customer-0038,2026-04-01T04:19:00.000Z,38.37,EUR,mobile,
customer-0039,2026-04-01T04:26:00.000Z,39.38,GBP,email,
customer-0040,2026-04-01T04:33:00.000Z,40.39,UAH,pos,ext-000039
customer-0041,2026-04-01T04:40:00.000Z,41.40,USD,web,
